ingenio,zafra,semana,cana_molida_bruta,cana_molida_neta,superficie_cosechada,azucar_total,azucar_refinada,azucar_estandar,azucar_blanca_especial,azucar_mascabado,alcohol_96_producido,miel_final_85_brix,karbe_cana_bruta,karbe_cana_neta,eficiencia_fabrica,extraccion_jugo_mezclado,extraccion_pol_pol_cana,bagazo_cana,fibra_cana,pol_cana,brix_jugo_mezclado,pol_jugo_mezclado,pza_aparente_jugo_mezclado,pol_bagazo,humedad_bagazo,materia_extrana,perdidas_bagazo,perdidas_miel_final,perdidas_cachaza,perdidas_indeterminadas,perdidas_totales,petroleo_pruebas,petroleo_molienda,petroleo_liquidacion,petroleo_fabrica_alcohol,petroleo_total,tiempo_perdido_fabrica,tiempo_perdido_personal,tiempo_perdido_festivos,tiempo_perdido_campo,tiempo_perdido_lluvias,tiempo_perdido_total
cia. azucarera del rio guayalejo s.a. de c.v.,2014-2015,8,35820.38,32208.25,356.5,1739.25,0.0,1739.25,0.0,0.0,0,280.051,90.449,100.592,70.831,97.345,90.671,30.463,12.36,11.222,13.809,10.453,75.7,3.437,54.202,3612.13,375.007,419.156,53.192,325.2,1172.555,230637,73953,0,0,304590,44:50:00,00:00,00:00,00:00,00:00,44:50:00
cia. azucarera del rio guayalejo s.a. de c.v.,2014-2015,9,83589.01,75733.556,1182.25,5102.9,1347.4,3755.5,0.0,0.0,0,1938.69,92.499076,102.094,72.656,100.252,92.308,29.829,12.46,11.426,13.782,10.521,76.34,2.946,53.527,7855.454,734.642,959.036,132.61,785.38,2611.668,230637,73953,0,0,304590,59:05:00,00:00,00:00,00:00,00:00,59:05:00
cia. azucarera del rio guayalejo s.a. de c.v.,2014-2015,10,122175.41,111090.717,1810.0,8027.55,4272.05,3755.5,0.0,0.0,0,3230.872,93.979785,103.357,72.324,100.094,92.997,29.525,12.48,11.561,13.97,10.741,76.89,2.742,53.224,11084.693,989.088,1473.04,207.444,1239.49,3909.062,230637,112609,0,0,343246,103:35:00,00:00,00:00,00:00,00:00,103:35:00
cia. azucarera del rio guayalejo s.a. de c.v.,2014-2015,11,169385.9,154538.094,2509.5,12402.25,8646.75,3755.5,0.0,0.0,0,4826.781,97.516158,106.885,72.423,99.141,93.434,29.247,12.48,11.888,14.347,11.204,78.09,2.669,52.965,14847.806,1322.074,2116.852,308.315,1805.75,5552.991,230637,112609,0,0,343246,122:40:00,00:00,00:00,00:00,00:00,122:40:00
cia. azucarera del rio guayalejo s.a. de c.v.,2014-2015,12,191431.23,174902.384,2774.25,14329.75,10574.25,3755.5,0.0,0.0,0,5534.721,99.346028,108.735,71.516,99.003,93.554,29.131,12.45,12.067,14.515,11.402,78.56,2.67,52.9,16528.216,1488.973,2386.082,346.576,2357.87,6579.501,230637,212011,0,0,442648,138:05:00,00:00,00:00,82:20:00,00:00,220:25:00
cia. azucarera del rio guayalejo s.a. de c.v.,2014-2015,13,235738.95,215807.228,3367.5,17974.8,14219.3,3755.5,0.0,0.0,0,7059.609,101.163887,110.507,71.544,98.77,93.66,29.011,12.4,12.273,14.793,11.638,78.68,2.682,52.794,19931.092,1834.28,2961.509,443.818,2993.565,8233.172,230637,471561,0,0,702198,155:45:00,03:00,00:00,82:20:00,00:00,241:05:00
cia. azucarera del rio guayalejo s.a. de c.v.,2014-2015,14,281612.04,258097.628,3879.0,22723.15,18967.65,3755.5,0.0,0.0,0,8763.549,102.129164,111.434,72.121,98.503,93.693,28.854,12.36,12.385,14.968,11.78,78.7,2.707,52.53,23513.782,2199.609,3609.387,542.588,3371.775,9723.359,230637,486936,0,0,717573,170:30:00,03:00,00:00,82:20:00,00:00,255:50:00
cia. azucarera del rio guayalejo s.a. de c.v.,2014-2015,15,327111.26,300089.205,4499.5,27226.0,23470.5,3755.5,0.0,0.0,0,10499.312,103.612343,112.942,72.535,98.225,93.688,28.698,12.31,12.521,15.091,11.943,79.14,2.754,52.361,27021.425,2585.259,4215.726,661.645,3786.615,11249.245,230637,500742,0,0,731379,186:00:00,03:00,00:00,82:20:00,00:00,271:20:00
cia. azucarera del rio guayalejo s.a. de c.v.,2014-2015,16,372346.08,341915.027,5114.75,31548.7,27793.2,3755.5,0.0,0.0,0,12250.706,105.449127,114.834,72.688,98.132,93.701,28.562,12.27,12.699,15.236,12.126,79.59,2.801,52.19,30430.423,2978.345,4892.96,776.515,4266.465,12914.285,230637,542159,0,0,772796,209:05:00,04:30,00:00,82:20:00,00:00,295:55:00
cia. azucarera del rio guayalejo s.a. de c.v.,2014-2015,17,414624.99,381022.967,5714.75,35833.65,32078.15,3755.5,0.0,0.0,0,13852.283,106.710467,116.121,72.512,97.855,93.658,28.51,12.28,12.823,15.36,12.273,79.91,2.853,52.003,33601.393,3371.962,5479.194,876.531,4887.395,14615.082,230637,594621,0,0,825258,233:45:00,04:30,00:00,84:00:00,00:00,322:15:00
cia. azucarera del rio guayalejo s.a. de c.v.,2014-2015,18,455021.57,418406.084,6302.25,40017.7,36262.2,3755.5,0.0,0.0,0,15355.842,107.955835,117.403,72.62,97.935,93.674,28.482,12.29,12.96,15.483,12.396,80.06,2.878,51.851,36614.856,3730.385,6021.302,957.702,5436.935,16146.324,230637,600143,0,0,830780,264:45:00,04:30,00:00,84:00:00,00:00,353:15:00
