ingenio,zafra,no_s_zafra,cana_molida_bruta,cana_molida_neta,superficie_cosechada,azucar_producida_total,azucar_producida_refinada,azucar_producida_estandar,azucar_producida_blanca_especial,azucar_producida_mascabado,toneladas_azucar_con_pol_menor_99_2,karbe_ton_cana_bruta_teorico,karbe_ton_cania_neta_teorico,eficiencia_en_fabrica,rendimiento_campo,rendimiento_fabrica,rendimiento_agroindustrial
Pedernales,2025-2026,14,52760.84,51705.623,608.6,4907.425,0.0,4907.425,0.0,0.0,0.0,0.0,104.914,80.641,86.692145,9.3012,8.063465
Plan de Ayala,2025-2026,12,28500.0,27321.951,457.0,1936.5,1936.5,0.0,0.0,0.0,0.0,0.0,112.117,76.012,62.363238,6.7947,4.237417
Plan de Ayala,2025-2026,13,47045.0,44819.271,760.67,2890.5,2890.5,0.0,0.0,0.0,0.0,0.0,107.914,67.917,61.846792,6.1441,3.799939
Plan de Ayala,2025-2026,14,78441.0,74722.919,1270.05,5202.45,5202.45,0.0,0.0,0.0,0.0,0.0,109.038,64.843,61.762135,6.6323,4.096256
Plan de San Luis,2025-2026,11,75735.0,72289.425,974.0,5574.5,5574.5,0.0,0.0,0.0,0.0,0.0,115.716,76.52,77.756673,7.3605,5.723305
Plan de San Luis,2025-2026,12,117920.0,112429.693,1533.0,9803.25,9803.25,0.0,0.0,0.0,0.0,0.0,114.029,77.743,76.921069,8.3134,6.394814
Plan de San Luis,2025-2026,13,143768.79,136751.329,1927.0,12325.25,12325.25,0.0,0.0,0.0,0.0,0.0,113.763,77.63,74.607571,8.5729,6.396081
Plan de San Luis,2025-2026,14,148388.79,141029.774,2002.0,12727.25,12727.25,0.0,0.0,0.0,0.0,0.0,113.853,77.26,74.120274,8.5769,6.357267
Puga,2025-2026,11,15045.0,0.0,223.663,119.35,119.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.266378,0.7932,0.533615
Puga,2025-2026,12,54983.702,52758.785,817.41,2966.100002,2966.100002,0.0,0.0,0.0,0.0,0.0,91.1836474,81.180884,67.265756,5.3945,3.628656
Puga,2025-2026,13,95924.482,92030.896,1426.05,6877.325002,6877.325002,0.0,0.0,0.0,0.0,0.0,89.031101,81.425065,67.265861,7.1695,4.822639
Puga,2025-2026,14,130506.822,125252.985,1887.87,10276.231,10276.231,0.0,0.0,0.0,0.0,0.0,89.3422262,81.979355,69.129136,7.874,5.443293
Quesería,2025-2026,11,46565.0,45108.98,645.753,4021.05,0.0,4021.05,0.0,0.0,0.0,0.0,0.0,82.61,72.109614,8.6353,6.226916
Quesería,2025-2026,12,93103.0,90229.286,1046.767,8768.0,0.0,8768.0,0.0,0.0,0.0,0.0,0.0,82.983,88.943384,9.4175,8.376267
Quesería,2025-2026,13,136166.0,132067.172,1435.998,12979.5,0.0,12979.5,0.0,0.0,0.0,0.0,0.0,82.977,94.823251,9.5321,9.038661
Quesería,2025-2026,14,179504.0,174117.323,1861.743,17216.25,0.0,17216.25,0.0,0.0,0.0,0.0,0.0,83.016,96.417174,9.591,9.247382
San Cristóbal,2025-2026,12,2399.53,0.0,45.752,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,52.44645,0.0,2.1e-05
San Cristóbal,2025-2026,13,29767.51,28720.953,438.596,1454.05,0.0,1454.05,0.0,0.0,0.0,85.534,88.6507561,70.527933,67.869998,4.8846,3.315237
San Cristóbal,2025-2026,14,71144.71,68625.499,999.785,4030.879,0.0,4030.879,0.0,0.0,0.0,83.425,86.487494,72.95409,71.160009,5.6657,4.031745
San Francisco Ameca,2025-2026,10,16490.0,0.0,193.225,1525.5,0.0,1525.5,0.0,0.0,0.0,0.0,0.0,82.389,85.340923,9.251,7.894941
San Francisco Ameca,2025-2026,11,53800.0,52020.189,431.86,4008.0,0.0,4008.0,0.0,0.0,0.0,0.0,0.0,81.928,124.577409,7.4498,9.280785
San Francisco Ameca,2025-2026,12,101060.0,97699.127,868.28,8539.5,0.0,7573.5,966.0,0.0,0.0,0.0,0.0,82.411,116.391025,8.4499,9.834961
San Francisco Ameca,2025-2026,13,146115.0,141171.66,1341.57,13296.0,0.0,10348.5,2947.5,0.0,0.0,0.0,0.0,82.926,108.913437,9.0996,9.910776
San Francisco Ameca,2025-2026,14,193825.0,187175.436,1801.77,18109.5,0.0,11713.5,6396.0,0.0,0.0,0.0,0.0,83.224,107.574773,9.3432,10.050949
San José de Abajo,2025-2026,13,22974.92,22198.93,353.95,1150.5,0.0,1150.5,0.0,0.0,0.0,0.0,91.462,55.2904991,64.910072,5.0076,3.250459
San José de Abajo,2025-2026,14,42353.23,40887.269,628.477,2607.9,0.0,2607.9,0.0,0.0,0.0,0.0,88.962,60.3899768,67.390262,6.1574,4.149555
San Miguel del Naranjo,2025-2026,13,28676.314,27112.494,550.41,2254.5,0.0,2254.5,0.0,0.0,0.0,0.0,0.0,74.707,52.099914,7.8618,4.096037
San Miguel del Naranjo,2025-2026,14,80828.2,75740.835,1388.8,6688.5,0.0,6688.5,0.0,0.0,0.0,0.0,0.0,77.357,58.200028,8.2749,4.816028
San Nicolás,2025-2026,13,14918.4,14057.129,209.0,702.725,0.0,0.0,0.0,0.0,702.725,0.0,92.5060533,73.068524,71.379904,4.7104,3.36232
San Nicolás,2025-2026,14,14918.4,14057.129,209.0,702.725,0.0,0.0,0.0,0.0,702.725,0.0,92.5060533,73.069,71.379904,4.7104,3.36232
San Pedro,2025-2026,8,2845.0,0.0,37.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.399,75.957816,0.0,0.0
San Pedro,2025-2026,9,22012.0,21263.91,298.581,789.975,0.0,789.975,0.0,0.0,0.0,0.0,79.76,61.388,73.722038,3.5888,2.645764
