ingenio,zafra,semana,cana_molida_bruta,cana_molida_neta,superficie_cosechada,azucar_total,azucar_refinada,azucar_estandar,azucar_blanca_especial,azucar_mascabado,azucar_pol_menor_99_2,alcohol_96_producido,miel_final_85_brix,karbe_cana_bruta,karbe_cana_neta,eficiencia_fabrica,extraccion_jugo_mezclado,extraccion_pol_pol_cana,bagazo_cana,fibra_cana,pol_cana,brix_jugo_mezclado,pol_jugo_mezclado,pza_aparente_jugo_mezclado,pol_bagazo,humedad_bagazo,materia_extrana,perdidas_bagazo,perdidas_miel_final,perdidas_cachaza,perdidas_indeterminadas,perdidas_totales,petroleo_pruebas,petroleo_molienda,petroleo_liquidacion,petroleo_fabrica_alcohol,petroleo_total,tiempo_perdido_fabrica,tiempo_perdido_personal,tiempo_perdido_festivos,tiempo_perdido_campo,tiempo_perdido_lluvias,tiempo_perdido_total,pol_porcentaje_fibra,cana_cosechada_mecanicamente,cana_quemada,kg_vapor_kg_cana,energia_electrica_ton_cana,rendimiento_campo,rendimiento_fabrica
adolfo lopez mateos,2023-2024,8,62369.0,60260.519,1035.342,2463.0,2463.0,0.0,0.0,0.0,0.0,0,1429.125,0.0,85.177,73.421,93.195,94.99,29.49,13.849,10.172,13.379,10.368,77.497,1.728,50.464,2108.481,317.851,978.134,112.205,278.089,1686.279,0,0.0,0,0,0,23.2,11.05,0.0,0.35,0.0,35.0,73.449,0.0,100.0,0.581,1082761.0,60.239997,3.949
adolfo lopez mateos,2023-2024,9,108391.0,104757.396,1646.279,5514.0,5514.0,0.0,0.0,0.0,0.0,0,3914.088,0.0,83.146,71.703,93.476,95.154,29.767,13.898,10.019,13.348,10.199,76.409,1.631,50.77,3633.604,526.282,1802.663,203.836,540.266,3073.047,0,0.0,0,0,0,39.55,18.05,0.0,1.05,38.2,97.25,72.09,0.0,100.0,0.613,2241588.0,65.839994,5.0871
adolfo lopez mateos,2023-2024,10,143727.0,138979.177,2175.398,7424.0,7424.0,0.0,0.0,0.0,0.0,0,5430.319,0.0,80.631,68.467,93.183,95.23,30.001,14.129,9.854,13.443,10.071,74.915,1.567,50.428,4747.823,675.574,2732.945,270.478,787.006,4466.003,0,0.0,0,0,0,43.1,19.25,0.0,1.3,118.4,182.45,69.743,0.0,100.0,0.613,3121700.0,66.069289,5.1653
adolfo lopez mateos,2023-2024,11,209763.0,202852.652,3144.279,11860.5,11860.5,0.0,0.0,0.0,0.0,0,8265.535,0.0,80.205,67.751,93.113,95.172,30.248,14.386,9.905,13.701,10.125,73.895,1.581,49.919,6910.348,1003.105,3984.747,412.205,1300.651,6700.708,0,0.0,0,0,0,52.3,24.2,0.0,2.45,124.4,204.15,68.852,0.0,100.0,0.6,4483754.0,66.712591,5.6542
adolfo lopez mateos,2023-2024,12,278418.0,269105.492,4146.279,17299.5,17299.5,0.0,0.0,0.0,0.0,0,10676.568,0.0,80.723,69.155,93.712,95.141,30.2,14.342,9.973,13.729,10.125,73.75,1.605,49.96,9312.508,1349.298,4919.804,550.133,1745.617,8564.852,0,0.0,0,0,0,66.3,26.1,0.0,6.0,125.55,224.35,69.537,0.0,100.0,0.593,5866288.0,67.148882,6.2134
adolfo lopez mateos,2023-2024,13,340366.0,328925.004,5019.279,23193.5,23193.5,0.0,0.0,0.0,0.0,0,13128.715,0.0,81.648,71.502,94.41,95.251,30.015,14.267,10.054,13.697,10.143,74.056,1.591,49.942,11440.996,1624.99,5610.838,660.944,1854.808,9751.58,0,0.0,0,0,0,73.55,34.4,0.0,10.2,144.25,263.21,70.47,0.0,100.0,0.594,7222018.0,67.811731,6.8142
adolfo lopez mateos,2023-2024,14,396079.0,382742.327,5794.873,27054.0,27054.0,0.0,0.0,0.0,0.0,0,14918.028,0.0,81.669,71.659,94.646,95.288,30.057,14.286,10.07,13.718,10.139,73.907,1.579,49.956,13336.673,1879.468,6711.377,759.031,1954.431,11304.307,0,0.0,0,0,0,80.45,38.4,0.0,11.5,178.35,309.5,70.489,0.0,100.0,0.604,8844452.0,68.349901,6.8304
adolfo lopez mateos,2023-2024,15,464220.0,448468.131,6719.073,32656.5,32656.5,0.0,0.0,0.0,0.0,0,17659.713,0.0,82.59,72.961,94.731,95.339,30.002,14.236,10.147,13.752,10.212,74.258,1.576,50.045,15751.869,2195.392,7567.113,890.263,2083.35,12736.118,0,0.0,0,0,0,97.2,44.05,0.0,15.6,179.3,336.56,71.277,0.0,100.0,0.6,10231988.0,69.089887,7.0347
adolfo lopez mateos,2023-2024,16,526994.0,509022.834,7720.403,38145.0,38145.0,0.0,0.0,0.0,0.0,0,20351.512,0.0,83.362,73.283,95.21,95.344,29.97,14.238,10.216,13.725,10.231,74.54,1.587,49.976,17971.166,2506.525,8674.063,1005.664,2197.991,14384.243,0,0.0,0,0,0,130.05,48.25,0.0,16.2,181.3,376.21,71.752,0.0,100.0,0.598,11552420.0,68.259908,7.2382
adolfo lopez mateos,2023-2024,17,558559.0,539600.656,8197.233,39930.5,39930.5,0.0,0.0,0.0,0.0,0,21652.159,0.0,83.047,72.88,95.204,95.334,30.044,14.3,10.206,13.759,10.22,74.278,1.585,49.88,18958.344,2659.959,9466.715,1055.487,2278.068,15460.229,0,0.0,0,0,0,152.1,56.55,0.0,16.2,248.55,474.21,71.371,0.0,100.0,0.6,12527500.0,68.139944,7.1488
