ingenio,zafra,semana,cana_molida_bruta,cana_molida_neta,superficie_cosechada,azucar_total,azucar_refinada,azucar_estandar,azucar_blanca_especial,azucar_mascabado,alcohol_96_producido,miel_final_85_brix,karbe_cana_bruta,karbe_cana_neta,eficiencia_fabrica,extraccion_jugo_mezclado,extraccion_pol_pol_cana,bagazo_cana,fibra_cana,pol_cana,brix_jugo_mezclado,pol_jugo_mezclado,pza_aparente_jugo_mezclado,pol_bagazo,humedad_bagazo,materia_extrana,perdidas_bagazo,perdidas_miel_final,perdidas_cachaza,perdidas_indeterminadas,perdidas_totales,petroleo_pruebas,petroleo_molienda,petroleo_liquidacion,petroleo_fabrica_alcohol,petroleo_total,tiempo_perdido_fabrica,tiempo_perdido_personal,tiempo_perdido_festivos,tiempo_perdido_campo,tiempo_perdido_lluvias,tiempo_perdido_total
aaron saenz garza,2015-2016,13,36815.91,33156.572,442.25,2197.799,0.0,2197.799,0.0,0.0,0,568.876,106.590366,118.354,75.713,100.923,95.483,25.354,11.48,12.612,14.656,11.932,81.41,2.247,51.45,3659.338,209.733,472.94,63.176,381.83,1127.679,98936,46940,0,0,145876,50:20:00,01:25,00:00,00:05,00:00,51:50:00
aaron saenz garza,2015-2016,14,78380.69,70507.469,879.75,6550.149,0.0,6550.149,0.0,0.0,0,2167.33,107.522385,119.529,76.607,101.298,95.297,25.651,11.69,12.755,14.772,11.999,81.23,2.339,51.066,7873.221,470.216,1015.235,134.972,718.33,2338.753,98936,46940,0,0,145876,62:30:00,01:25,00:00,00:10,00:00,64:05:00
aaron saenz garza,2015-2016,15,117453.26,105722.23,1303.75,10137.199,0.0,10137.199,0.0,0.0,0,3747.326,105.700117,117.429,76.117,99.573,94.426,26.217,11.77,12.604,14.841,11.953,80.54,2.68,51.213,11731.03,825.176,1479.294,196.793,1034.48,3535.743,98936,46940,0,0,145876,91:15:00,01:25,00:00,00:10,00:00,92:50:00
aaron saenz garza,2015-2016,16,154122.06,138900.993,1807.75,12513.049,2375.85,10137.199,0.0,0.0,0,5106.817,105.300581,116.84,75.727,98.417,93.866,26.771,11.86,12.581,14.935,11.999,80.34,2.883,51.417,15221.067,1189.452,1914.372,252.315,1350.35,4706.489,98936,51440,0,0,150376,129:05:00,01:25,00:00,00:20,00:00,130:50:00
aaron saenz garza,2015-2016,17,189604.6,170923.515,2252.75,16122.299,5985.1,10137.199,0.0,0.0,0,6439.389,106.065106,117.657,75.948,98.472,93.971,26.886,11.94,12.686,15.083,12.106,80.26,2.845,51.259,18681.085,1450.118,2359.801,310.358,1664.88,5785.157,98936,51440,0,0,150376,171:25:00,01:25,00:00,00:20,00:00,173:10:00
aaron saenz garza,2015-2016,18,232673.1,209735.742,2794.75,21200.549,11003.35,10197.199,0.0,0.0,0,7947.706,107.073292,118.783,76.498,98.351,93.918,27.11,12.0,12.809,15.235,12.232,80.29,2.874,51.377,22941.195,1812.783,2900.665,379.974,1910.96,7004.382,98936,68007,0,0,166943,189:25:00,01:25,00:00,00:20,00:00,191:10:00
aaron saenz garza,2015-2016,19,267609.18,241551.397,3404.75,24624.399,14427.2,10197.199,0.0,0.0,63149,9125.287,108.192667,119.864,76.662,98.123,93.978,27.173,12.04,12.941,15.425,12.394,80.35,2.868,51.271,26061.62,2085.434,3436.824,453.517,2106.24,8082.015,98936,108312,0,0,207248,239:15:00,01:25,00:00,00:20,00:00,241:00:00
aaron saenz garza,2015-2016,20,311225.84,281410.752,4128.25,29399.899,19202.7,10197.199,0.0,0.0,111198,10619.013,110.014683,121.671,77.123,98.154,94.058,27.139,12.05,13.14,15.628,12.592,80.57,2.877,51.077,29818.935,2429.967,3985.281,511.777,2428.75,9355.775,98936,109273,0,0,208209,254:35:00,01:25,00:00,00:20,00:00,256:20:00
aaron saenz garza,2015-2016,21,352071.15,318869.09,4546.25,33974.948,23777.75,10197.199,0.0,0.0,193858,12125.192,111.715199,123.347,77.522,98.267,94.228,27.102,12.09,13.324,15.809,12.776,80.82,2.838,50.928,33205.907,2707.65,4519.119,578.733,2738.67,10544.172,98936,134124,0,0,233060,276:30:00,01:25,00:00,00:20,00:00,278:15:00
aaron saenz garza,2015-2016,22,388807.84,352590.412,5080.25,37969.048,27771.85,10197.199,0.0,0.0,344216,13533.915,112.904116,124.501,77.466,98.351,94.271,27.124,12.12,13.463,15.954,12.904,80.88,2.843,50.835,36221.275,2998.636,5043.03,643.924,3109.51,11795.1,98936,228005,0,0,326941,310:10:00,01:35,00:00,00:20,00:00,312:05:00
aaron saenz garza,2015-2016,23,432469.51,392451.01,5625.0,43154.098,32956.9,10197.199,0.0,0.0,445131,15139.269,113.707451,125.302,77.7,98.463,94.29,27.183,12.15,13.567,16.074,12.992,80.82,2.85,50.791,39955.279,3350.301,5663.808,719.435,3350.34,13083.884,98936,241811,0,0,340747,322:20:00,01:35,00:00,00:20,00:00,324:15:00
aaron saenz garza,2015-2016,24,464708.14,421893.41,6022.75,46982.95,36785.75,10197.2,0.0,0.0,541367,16256.843,114.133529,125.716,77.845,98.448,94.303,27.228,12.18,13.627,16.164,13.053,80.75,2.851,50.738,42751.509,3607.942,6094.314,771.458,3556.518,14030.232,98936,297454,0,23761,420151,343:15:00,01:35,00:00,00:20,32:45:00,377:55:00
aaron saenz garza,2015-2016,25,501637.03,455877.639,6484.25,51000.3,40803.1,10197.2,0.0,0.0,676999,17579.247,114.510139,126.004,77.835,98.416,94.226,27.308,12.2,13.684,16.246,13.101,80.64,2.893,50.71,45759.391,3963.388,6641.753,845.949,3763.868,15214.958,98936,373590,0,23761,496287,379:40:00,01:35,00:00,00:20,32:45:00,414:20:00
aaron saenz garza,2015-2016,26,539987.22,490763.793,6982.25,55646.648,45449.45,10197.199,0.0,0.0,811362,18906.299,115.154876,126.705,77.874,98.314,94.167,27.472,12.22,13.761,16.341,13.18,80.66,2.922,50.849,49223.427,4334.116,7196.65,924.874,3985.377,16441.017,98936,405747,0,27499,532182,409:55:00,01:35,00:00,00:20,32:45:00,444:35:00
aaron saenz garza,2015-2016,27,577907.46,525299.119,7480.5,59469.65,49272.45,10197.2,0.0,0.0,954630,20265.199,115.550735,127.123,77.853,98.111,94.05,27.672,12.25,13.812,16.416,13.24,80.65,2.97,51.012,52608.341,4748.983,7739.151,999.086,4190.147,17677.367,98936,449926,0,27499,576361,437:25:00,01:35,00:00,06:45,32:45:00,478:30:00
aaron saenz garza,2015-2016,28,614277.12,558529.071,8016.25,63958.25,53761.05,10197.2,0.0,0.0,1079089,21504.44,116.019497,127.6,77.95,98.23,94.038,27.787,12.27,13.868,16.457,13.276,80.67,2.976,51.092,55748.049,5079.097,8219.649,1078.308,4406.031,18783.085,98936,460971,0,33613,593520,470:40:00,01:35,00:00,12:30,32:45:00,517:30:00
