ingenio,zafra,semana,cana_molida_bruta,cana_molida_neta,superficie_cosechada,azucar_total,azucar_refinada,azucar_estandar,azucar_blanca_especial,azucar_mascabado,azucar_pol_menor_99_2,alcohol_96_producido,miel_final_85_brix,karbe_cana_bruta,karbe_cana_neta,eficiencia_fabrica,extraccion_jugo_mezclado,extraccion_pol_pol_cana,bagazo_cana,fibra_cana,pol_cana,brix_jugo_mezclado,pol_jugo_mezclado,pza_aparente_jugo_mezclado,pol_bagazo,humedad_bagazo,materia_extrana,perdidas_bagazo,perdidas_miel_final,perdidas_cachaza,perdidas_indeterminadas,perdidas_totales,petroleo_pruebas,petroleo_molienda,petroleo_liquidacion,petroleo_fabrica_alcohol,petroleo_total,tiempo_perdido_fabrica,tiempo_perdido_personal,tiempo_perdido_festivos,tiempo_perdido_campo,tiempo_perdido_lluvias,tiempo_perdido_total,pol_porcentaje_fibra,cana_cosechada_mecanicamente,cana_quemada,kg_vapor_kg_cana,energia_electrica_ton_cana,rendimiento_campo,rendimiento_fabrica
adolfo lopez mateos,2022-2023,12,52567.0,51002.858,889.321,4053.77,0.0,0.0,0.0,0.0,4053.77,0,689.373,0.0,101.587,79.191,92.533,95.34,32.894,14.898,11.947,15.14,12.309,81.301,1.692,51.391,1564.142,292.632,651.723,93.788,268.689,1306.832,0,0.0,0,0,0.0,22:55,03:55,00:00,00:20,00:00,27:10:00,80.192,0.0,100.0,0.546,880026.0,59.10914,7.7116
adolfo lopez mateos,2022-2023,13,109031.0,105587.723,1730.384,10164.07,0.0,0.0,0.0,0.0,10164.07,0,2022.885,0.0,100.048,80.318,93.078,95.376,32.39,14.543,11.761,14.933,12.052,80.707,1.679,51.684,3443.277,592.961,1239.943,187.534,503.559,2523.997,0,0.0,0,0,0.0,54:50:00,07:25,00:00,00:20,11:50,74:23:00,80.871,0.0,100.0,0.548,1927509.0,63.009713,9.3221
adolfo lopez mateos,2022-2023,14,163495.0,158216.231,2646.839,14895.8,0.0,3882.9,0.0,0.0,11012.9,0,3493.32,0.0,99.986,79.99,94.106,95.268,32.284,14.481,11.764,14.811,11.91,80.407,1.724,51.629,5278.769,910.076,1930.035,268.341,740.213,3848.665,0,0.0,0,0,0.0,95:30:00,14:30,00:00,00:35,12:35,123:08:00,81.237,0.0,100.0,0.544,2974543.0,61.769907,9.1108
adolfo lopez mateos,2022-2023,15,224525.0,217181.403,3477.239,20741.3,0.0,9728.4,0.0,0.0,11012.9,0,5317.734,0.0,100.136,80.844,94.659,95.383,32.309,14.645,11.782,14.746,11.872,80.51,1.683,51.221,7343.597,1221.223,2513.885,370.564,961.632,5067.304,0,0.0,0,0,0.0,105:15:00,20:50,00:00,25:55:00,12:35,164:34:00,80.451,0.0,100.0,0.548,4007861.0,64.569907,9.2378
adolfo lopez mateos,2022-2023,16,282052.0,272666.407,4368.184,25620.3,4865.5,9741.9,0.0,0.0,11012.9,0,7510.358,0.0,100.823,81.412,95.32,95.529,32.151,14.656,11.849,14.732,11.875,80.606,1.648,51.017,9385.593,1494.326,3137.47,465.216,1115.374,6212.386,0,0.0,0,0,0.0,144:20:00,22:20,00:00,26:15:00,12:35,205:29:00,80.847,0.0,100.0,0.566,5245583.0,64.569624,9.0835
adolfo lopez mateos,2022-2023,17,349707.0,338017.237,5453.971,32585.9,11831.1,9741.9,0.0,0.0,11012.9,0,10553.07,0.0,101.734,81.231,95.604,95.528,32.087,14.613,11.943,14.788,11.934,80.699,1.664,51.047,11689.763,1867.72,4095.201,575.747,1300.703,7839.371,0,0.0,0,0,0.0,156:20:00,27:50:00,00:00,26:20:00,12:35,223:04:00,81.729,0.0,100.0,0.568,6574033.0,64.119702,9.318
adolfo lopez mateos,2022-2023,18,419535.0,405398.316,6588.202,39640.1,18885.3,9741.9,0.0,0.0,11012.9,0,13268.531,0.0,102.314,81.392,95.952,95.619,31.944,14.598,12.0,14.804,11.958,80.778,1.646,50.948,14136.684,2205.674,5005.234,676.617,1480.456,9367.981,0,0.0,0,0,0.0,178:10:00,30:30:00,00:00,26:25:00,12:35,247:39:00,82.203,0.0,100.0,0.566,7903504.0,63.679741,9.4485
adolfo lopez mateos,2022-2023,19,490077.0,473435.945,7697.168,47125.4,26370.6,9741.9,0.0,0.0,11012.9,0,16109.644,0.0,102.552,81.601,96.002,95.679,31.879,14.603,12.028,14.846,11.987,80.743,1.63,50.899,16641.055,2546.895,5878.223,781.111,1639.085,10845.314,0,0.0,0,0,0.0,185:50:00,34:30:00,00:00,26:25:00,24:25:00,271:09:00,82.367,0.0,100.0,0.563,9256582.0,63.66978,9.6159
adolfo lopez mateos,2022-2023,20,566172.0,546844.535,8860.308,55183.85,34429.05,9741.9,0.0,0.0,11012.9,0,19025.276,0.0,103.316,81.711,96.086,95.747,31.8,14.601,12.106,14.92,12.063,80.855,1.619,50.813,19327.465,2915.168,6941.438,888.438,1790.035,12535.079,0,0.0,0,0,0.0,197:25:00,36:55:00,00:00,32:00:00,25:35:00,291:55:00,82.912,0.0,100.0,0.562,10666142.0,63.89981,9.7468
adolfo lopez mateos,2022-2023,21,631117.0,609489.647,9979.728,62348.2,41593.4,9741.9,0.0,0.0,11012.9,0,21637.461,0.0,104.354,81.878,96.354,95.794,31.716,14.589,12.215,14.997,12.144,80.974,1.62,50.725,21627.353,3242.744,7840.644,973.172,1913.628,13970.188,0,0.0,0,0,0.0,215:25:00,49:35:00,00:00,32:05:00,25:35:00,322:40:00,83.727,0.0,100.0,0.566,12023031.0,63.239899,9.879
