ingenio,zafra,semana,cana_molida_bruta,cana_molida_neta,superficie_cosechada,azucar_total,azucar_refinada,azucar_estandar,azucar_blanca_especial,azucar_mascabado,azucar_pol_menor_99_2,alcohol_96_producido,miel_final_85_brix,karbe_cana_bruta,karbe_cana_neta,eficiencia_fabrica,extraccion_jugo_mezclado,extraccion_pol_pol_cana,bagazo_cana,fibra_cana,pol_cana,brix_jugo_mezclado,pol_jugo_mezclado,pza_aparente_jugo_mezclado,pol_bagazo,humedad_bagazo,materia_extrana,perdidas_bagazo,perdidas_miel_final,perdidas_cachaza,perdidas_indeterminadas,perdidas_totales,petroleo_pruebas,petroleo_molienda,petroleo_liquidacion,petroleo_fabrica_alcohol,petroleo_total,tiempo_perdido_fabrica,tiempo_perdido_personal,tiempo_perdido_festivos,tiempo_perdido_campo,tiempo_perdido_lluvias,tiempo_perdido_total,pol_porcentaje_fibra,cana_cosechada_mecanicamente,cana_quemada,kg_vapor_kg_cana,energia_electrica_ton_cana,rendimiento_campo,rendimiento_fabrica
aaron saenz garza,2019-2020,7,22062.96,0.0,353.64,373.1,373.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,64.046,0.0,0.0,0.0,12.65,12.15,14.68,0.0,79.76,0.0,52.86,0.0,210.514,281.29,46.577,425.348,963.729,0.0,0.0,0,0,0.0,33:45:00,00:00,00:00,00:00,00:00,33:45:00,0.0,0.0,0.0,0.0,0.0,62.388191,1.691
aaron saenz garza,2019-2020,8,57320.65,52833.691,709.0,3168.90035,3007.9,160.99935,0.0,0.0,0.0,0,1227.840314,101.879,110.531,67.732,95.831,94.64,28.051,12.51,12.314,15.336,12.161,79.3,2.353,52.278,4486.959,378.376,713.2180278,92.072,1093.924972,2277.591,0.0,0.0,0,0,0.0,64:20:00,00:00,00:00,00:00,00:00,64:20:00,98.433,66.134,10.601,0.69,1176849.0,80.847179,5.5283
aaron saenz garza,2019-2020,9,95209.4,87904.052,928.0,7022.65035,3935.4,3087.24935,0.0,0.0,0.0,0,3083.142517,103.287,111.871,67.908,94.946,93.781,28.408,12.66,12.452,15.41,12.299,79.81,2.726,51.908,7305.348,737.287,1386.275923,128.154,1552.904077,3804.621,0.0,0.0,0,0,0.0,95:40:00,00:00,00:00,00:00,00:00,95:40:00,98.357,60.806,6.382,0.651,1877849.0,102.596336,7.376
aaron saenz garza,2019-2020,10,136832.87,126284.43,1694.0,11136.30035,3935.4,7200.89935,0.0,0.0,0.0,0,4714.102123,103.618,112.273,71.795,95.3,94.375,28.064,12.69,12.49,15.487,12.369,79.86,2.503,51.505,10548.44,961.359,1943.143923,178.426,1737.404077,4820.333,0.0,0.0,0,0,0.0,101:30:00,00:00,00:00,08:15,00:00,109:45:00,98.424,62.941,12.149,0.636,2660849.0,80.775011,8.1386
aaron saenz garza,2019-2020,11,179900.04,166039.75,2229.0,15462.85035,3935.4,11527.44935,0.0,0.0,0.0,0,6220.795488,105.403,114.202,73.475,95.354,94.842,27.734,12.65,12.644,15.619,12.576,80.52,2.352,51.266,13860.29,1173.314,2430.305923,226.738,2203.404077,6033.762,0.0,0.0,0,0,0.0,123:05:00,00:35,00:00,08:15,00:00,131:55:00,99.953,65.987,23.237,0.62,3406849.0,80.708855,8.5952
aaron saenz garza,2019-2020,12,227294.45,209564.603,2812.0,20578.05035,3935.4,16642.64935,0.0,0.0,0.0,0,7997.350776,108.055,117.197,74.721,95.403,95.077,27.484,12.57,12.865,15.72,12.821,81.56,2.304,51.201,17729.847,1439.529,2999.913923,262.025,2690.404077,7391.872,0.0,0.0,0,0,0.0,132:30:00,00:35,00:00,08:15,00:00,141:20:00,102.347,69.64,28.702,0.609,4210849.0,80.830174,9.0534
aaron saenz garza,2019-2020,13,271841.87,250456.683,3354.0,25209.45035,3935.4,21274.049,0.0,0.0,0.0,0,9820.368259,108.438,117.697,71.891,95.205,95.134,27.428,12.53,12.88,15.718,12.871,81.88,2.285,51.248,21385.187,1703.847,3761.338923,302.422,2875.757077,8643.365,0.0,0.0,0,0,0.0,157:15:00,00:20,00:00,08:15,00:00,165:50:00,102.793,66.784,34.562,0.607,5005849.0,81.05005,9.2735
aaron saenz garza,2019-2020,14,313680.63,288723.644,3918.0,29613.10035,3935.4,25677.699,0.0,0.0,0.0,0,11390.27685,109.446,118.906,71.935,94.843,95.197,27.416,12.5,12.96,15.802,13.009,82.32,2.27,51.357,24824.656,1952.621,4390.329923,341.888,3340.452077,10035.215,0.0,0.0,0,0,0.0,182:45:00,00:20,00:00,08:15,00:00,191:20:00,103.68,64.752,38.064,0.602,5748849.0,80.061416,9.4405
aaron saenz garza,2019-2020,15,358371.85,329905.715,4510.0,34548.68035,3935.4,30162.799,0.0,0.0,450.48,0,13360.56409,110.195,119.703,76.0019788,94.47,95.199,27.406,12.45,13.02,15.883,13.12,82.61,2.281,51.505,28333.805,2240.256,4847.737923,387.51,3721.952077,11207.38,0.0,0.0,0,0,0.0,193:50:00,00:20,00:00,08:15,00:00,202:25:00,104.578,62.85,41.226,0.601,6585849.0,79.461607,9.6404
aaron saenz garza,2019-2020,16,399734.84,367974.176,5163.0,38832.48,3935.4,33230.849,0.0,0.0,1666.23,0,14519.119,110.677,120.23,76.4166977,94.001,94.916,27.589,12.44,13.061,15.93,13.188,82.79,2.407,51.702,31628.334,2654.29,5240.593923,444.628,3972.952077,12322.388,0.0,0.0,0,0,0.0,218:10:00,00:20,00:00,08:15,00:00,226:45:00,104.992,62.566,44.504,0.605,7410849.0,77.422978,9.7145
