ingenio,zafra,semana,cana_molida_bruta,cana_molida_neta,superficie_cosechada,azucar_total,azucar_refinada,azucar_estandar,azucar_blanca_especial,azucar_mascabado,alcohol_96_producido,miel_final_85_brix,karbe_cana_bruta,karbe_cana_neta,eficiencia_fabrica,extraccion_jugo_mezclado,extraccion_pol_pol_cana,bagazo_cana,fibra_cana,pol_cana,brix_jugo_mezclado,pol_jugo_mezclado,pza_aparente_jugo_mezclado,pol_bagazo,humedad_bagazo,materia_extrana,perdidas_bagazo,perdidas_miel_final,perdidas_cachaza,perdidas_indeterminadas,perdidas_totales,petroleo_pruebas,petroleo_molienda,petroleo_liquidacion,petroleo_fabrica_alcohol,petroleo_total,tiempo_perdido_fabrica,tiempo_perdido_personal,tiempo_perdido_festivos,tiempo_perdido_campo,tiempo_perdido_lluvias,tiempo_perdido_total
aaron saenz garza,2016-2017,8,22627.51,20204.684,283.0,878.7,0.0,878.7,0.0,0.0,0,285.8076471,0.0,0.0,70.446,96.025,93.858,30.165,12.45,11.315,14.416,11.06,76.72,2.304,54.803,0.0,157.269,326.243,51.864,221.33,756.706,0.0,0.0,0,0,0.0,612:30:00,00:00,00:00,00:00,347:13:00,959:42:00
aaron saenz garza,2016-2017,9,59265.29,53498.994,741.25,3713.1,0.0,3713.149,0.0,0.0,106802,1571.461529,90.766,100.549,73.434,96.428,94.298,28.468,12.36,11.161,14.205,10.914,76.84,2.235,52.748,0.0,377.161,859.116,89.229,431.75,1757.256,0.0,0.0,0,0,0.0,296:25:00,00:00,00:00,48:48:00,126:11:00,471:25:00
aaron saenz garza,2016-2017,10,95608.13,86356.461,1192.0,7052.95,0.0,7052.95,0.0,0.0,253449,2999.286941,0.0,0.0,74.434,96.208,94.58,27.983,12.37,11.568,14.611,11.373,77.84,2.241,51.958,9251.669,599.528,1401.909,132.346,693.92,2827.703,108545.0,19328.0,0,0,127873.0,91:55:00,00:00,00:00,03:25,31:35:00,126:55:00
aaron saenz garza,2016-2017,11,120404.37,109016.963,1491.25,8971.45,256.3,8715.15,0.0,0.0,389801,3927.525059,0.0,0.0,74.593,96.157,94.53,28.021,12.42,11.728,14.798,11.529,77.91,2.289,51.801,11387.407,772.37,1726.254,169.147,919.96,3587.731,108545.0,19328.0,0,0,127873.0,160:05:00,00:00,00:00,03:25,31:35:00,195:05:00
aaron saenz garza,2016-2017,12,159816.32,145176.523,1984.25,12632.3,256.3,12376.0,0.0,0.0,553365,5574.822647,96.354,106.07,73.9,95.733,94.584,27.882,12.4,11.754,14.901,11.613,77.93,2.283,51.672,14639.797,1017.472,2343.52,222.612,1319.26,4902.864,108545.0,19328.0,0,0,127873.0,178:25:00,00:00,00:00,03:30,31:35:00,213:30:00
aaron saenz garza,2016-2017,13,203024.31,185096.459,2461.5,16045.1,1418.25,14626.85,0.0,0.0,716080,7199.279412,97.246,106.665,74.375,95.874,94.646,27.752,12.38,11.835,14.934,11.684,78.23,2.283,51.533,17927.851,1286.482,2928.793,288.748,1653.338,6157.361,108545.0,19328.0,0,0,127873.0,191:55:00,00:30,00:00,03:45,31:35:00,227:45:00
aaron saenz garza,2016-2017,14,227278.441,207391.3859,2762.25,18102.75,3464.95,14637.8,0.0,0.0,799421,8170.702535,97.091,106.401,74.296,95.685,94.595,27.771,12.38,11.824,14.96,11.689,78.14,2.301,51.548,19887.0551,1452.413,3272.668,330.851,1851.588,6907.52,108545.0,19328.0,0,0,127873.0,242:35:00,00:30,00:00,03:45,57:35:00,304:25:00
aaron saenz garza,2016-2017,15,265811.66,243337.6229,3244.25,21454.05,6816.25,14637.8,0.0,0.0,813422,9732.433712,97.376,106.369,74.088,95.216,94.561,27.766,12.39,11.842,15.013,11.76,78.34,2.32,51.504,22474.0371,1712.172,3876.959,403.401,2163.998,8156.53,108545.0,113208.0,0,0,221753.0,259:50:00,00:30,00:00,03:45,65:10:00,329:15:00
aaron saenz garza,2016-2017,16,309001.15,283315.6089,3784.0,25648.7,11010.9,14637.8,0.0,0.0,941704,11437.59306,98.27,107.179,74.236,95.301,94.555,27.786,12.39,11.929,15.06,11.836,78.59,2.338,51.507,25685.5411,2007.22,4504.882,470.629,2514.278,9497.009,108545.0,176715.0,0,0,285260.0,272:30:00,00:30,00:00,03:45,65:10:00,341:55:00
aaron saenz garza,2016-2017,17,349546.75,320722.7369,4290.75,29378.9,14741.1,14637.8,0.0,0.0,1042953,12917.4413,98.752,107.627,74.363,95.203,94.448,27.881,12.42,11.976,15.089,11.882,78.75,2.385,51.514,28824.0131,2324.082,5037.962,528.331,2842.068,10732.443,108545.0,218133.0,0,2761,329439.0,293:20:00,00:40,00:00,03:50,65:10:00,363:00:00
