ingenio,zafra,semana,cana_molida_bruta,cana_molida_neta,superficie_cosechada,azucar_total,azucar_refinada,azucar_estandar,azucar_blanca_especial,azucar_mascabado,alcohol_96_producido,miel_final_85_brix,karbe_cana_bruta,karbe_cana_neta,eficiencia_fabrica,extraccion_jugo_mezclado,extraccion_pol_pol_cana,bagazo_cana,fibra_cana,pol_cana,brix_jugo_mezclado,pol_jugo_mezclado,pza_aparente_jugo_mezclado,pol_bagazo,humedad_bagazo,materia_extrana,perdidas_bagazo,perdidas_miel_final,perdidas_cachaza,perdidas_indeterminadas,perdidas_totales,petroleo_pruebas,petroleo_molienda,petroleo_liquidacion,petroleo_fabrica_alcohol,petroleo_total,tiempo_perdido_fabrica,tiempo_perdido_personal,tiempo_perdido_festivos,tiempo_perdido_campo,tiempo_perdido_lluvias,tiempo_perdido_total,pol_porcentaje_fibra,cana_cosechada_mecanicamente,cana_quemada,kg_vapor_kg_cana,energia_electrica_ton_cana,rendimiento_campo,rendimiento_fabrica
adolfo lopez mateos,2020-2021,9,37843.0,0.0,594.081,347.9,347.9,0.0,0.0,0.0,0.0,428.726,0.0,0.0,73.606,0.0,0.0,0.0,15.91,10.803,14.649,0.0,78.533,0.0,49.784,0.0,260.36,501.041,148.723,168.784,1078.929,0,0.0,0,0,0.0,3.15,9.25,0.0,7.0,0.0,19.4,0.0,0.0,0.0,0.0,0.0,63.700067,0.9193
adolfo lopez mateos,2020-2021,10,89139.0,84969.638,1353.874,4410.0,4410.0,0.0,0.0,0.0,0.0,3149.966,0.0,93.021,72.862,90.096,94.197,32.22,15.056,10.961,14.573,11.46,78.639,1.974,50.26,4169.362,566.955,1352.107,340.8,391.583,2651.445,0,0.0,0,0,0.0,4.4,21.05,0.0,9.15,26.35,61.35,72.802,0.0,100.0,0.516,2739981.0,65.839952,4.9473
adolfo lopez mateos,2020-2021,11,152481.0,145266.112,2206.784,9884.8,9884.8,0.0,0.0,0.0,0.0,5460.233,0.0,94.014,73.74,91.228,94.538,31.639,14.728,11.045,14.553,11.445,78.647,1.907,50.487,7214.888,919.874,2367.136,530.514,604.881,4422.405,0,0.0,0,0,0.0,19.5,31.05,0.0,9.45,26.35,87.15,74.993,0.0,100.0,0.524,3940426.0,69.096477,6.4826
adolfo lopez mateos,2020-2021,12,216825.0,206328.559,3109.939,16006.05,16006.05,0.0,0.0,0.0,0.0,8351.598,0.0,94.477,74.143,91.877,94.61,32.177,14.94,11.103,14.536,11.434,78.654,1.86,50.642,10496.441,1297.667,3424.501,712.268,790.568,6225.004,0,0.0,0,0,0.0,27.2,36.15,0.0,13.45,38.35,115.55,74.317,0.0,100.0,0.533,5087306.0,69.720017,7.382
adolfo lopez mateos,2020-2021,13,279451.0,265721.826,3993.869,22189.55,22189.55,0.0,0.0,0.0,0.0,10365.205,0.0,95.779,74.907,92.835,94.744,32.117,14.938,11.23,14.532,11.461,78.867,1.838,50.585,13729.174,1649.499,4325.794,939.091,960.327,7874.711,0,0.0,0,0,0.0,32.25,36.25,0.0,31.15,43.5,143.55,75.177,0.0,100.0,0.549,6384308.0,69.969996,7.9404
adolfo lopez mateos,2020-2021,14,330689.0,314267.498,4715.122,26885.0,26885.0,0.0,0.0,0.0,0.0,12014.175,0.0,96.816,75.863,93.309,94.805,32.151,14.913,11.325,14.549,11.507,79.091,1.83,50.713,16421.502,1945.461,4913.389,1096.543,1084.1,9039.493,0,0.0,0,0,0.0,52.0,49.35,0.0,46.4,43.5,192.05,75.94,0.0,100.0,0.566,7533713.0,70.13371,8.1299
adolfo lopez mateos,2020-2021,15,389180.0,369740.536,5562.107,31744.9,31744.9,0.0,0.0,0.0,0.0,14254.229,0.0,96.779,76.216,92.834,94.733,32.468,14.974,11.311,14.569,11.543,79.23,1.835,50.965,19439.464,2318.498,5630.493,1298.713,1222.39,10470.094,0,0.0,0,0,0.0,64.35,56.0,0.0,48.3,58.4,227.45,75.538,0.0,100.0,0.566,8738076.0,69.969887,8.1568
adolfo lopez mateos,2020-2021,16,441821.0,419724.78,6280.338,36557.7,36557.7,0.0,0.0,0.0,0.0,15892.013,0.0,96.263,76.003,92.231,94.678,32.88,15.09,11.259,14.587,11.558,79.235,1.822,51.205,22096.22,2647.513,6420.193,1501.921,1368.286,11937.913,0,0.0,0,0,0.0,85.45,68.35,0.0,49.6,69.6,274.2,74.612,0.0,100.0,0.565,9866749.0,70.349876,8.2743
adolfo lopez mateos,2020-2021,17,484289.0,460558.112,6967.195,39880.85,39880.85,0.0,0.0,0.0,0.0,17233.536,0.0,95.986,76.238,92.094,94.674,33.051,15.12,11.242,14.588,11.557,79.223,1.811,51.359,23730.888,2899.511,6881.16,1662.294,1493.724,12936.689,0,0.0,0,0,0.0,131.4,77.05,0.0,56.3,74.4,339.55,74.352,0.0,100.0,0.564,10865921.0,69.509896,8.2349
adolfo lopez mateos,2020-2021,18,540130.0,513640.679,7824.571,45112.5,45112.5,0.0,0.0,0.0,0.0,19497.026,0.0,95.761,76.401,91.993,94.646,33.307,15.175,11.22,14.571,11.543,79.218,1.804,51.55,26489.321,3244.674,7603.0,1828.634,1624.685,14300.993,0,0.0,0,0,0.0,140.05,83.15,0.0,61.35,99.4,384.34,73.937,0.0,100.0,0.561,12725739.0,69.029982,8.3521
