ingenio,zafra,semana,cana_molida_bruta,cana_molida_neta,superficie_cosechada,azucar_total,azucar_refinada,azucar_estandar,azucar_blanca_especial,azucar_mascabado,alcohol_96_producido,miel_final_85_brix,karbe_cana_bruta,karbe_cana_neta,eficiencia_fabrica,extraccion_jugo_mezclado,extraccion_pol_pol_cana,bagazo_cana,fibra_cana,pol_cana,brix_jugo_mezclado,pol_jugo_mezclado,pza_aparente_jugo_mezclado,pol_bagazo,humedad_bagazo,materia_extrana,perdidas_bagazo,perdidas_miel_final,perdidas_cachaza,perdidas_indeterminadas,perdidas_totales,petroleo_pruebas,petroleo_molienda,petroleo_liquidacion,petroleo_fabrica_alcohol,petroleo_total,tiempo_perdido_fabrica,tiempo_perdido_personal,tiempo_perdido_festivos,tiempo_perdido_campo,tiempo_perdido_lluvias,tiempo_perdido_total
ingenio nuevo san francisco s.a. de c.v.,2012-2013,33,363834.0,344031.755,4798.21,27582.35,0.0,27582.35,0.0,0.0,0,14424.632,0.0,0.0,73.035,87.575,91.464,28.967,13.08,10.91,14.87,11.39,76.62,3.22,50.0,20038.46,3387.836,5355.381,935.559,1022.646,10701.422,46874,936567,362330,0,1345771,878:30:00,19:50,29:45:00,460:00:00,430:05:00,1818:10:00
ingenio nuevo san francisco s.a. de c.v.,2012-2013,34,376184.0,355563.248,4991.41,28433.3,0.0,28433.3,0.0,0.0,0,15130.069,0.0,0.0,72.739,87.424,91.354,29.059,13.11,10.88,14.84,11.37,76.62,3.24,50.0,20856.967,3539.01,5574.533,978.598,1066.552,11158.693,46874,966163,380330,0,1393367,897:00:00,19:50,29:45:00,558:25:00,430:05:00,1935:05:00
ingenio nuevo san francisco s.a. de c.v.,2012-2013,35,381384.0,360384.081,5057.41,28676.3,0.0,28676.3,0.0,0.0,0,15422.425,0.0,0.0,72.574,87.362,91.323,29.106,13.126,10.863,14.82,11.36,76.617,3.24,50.01,21236.134,3595.07,5676.471,991.741,1099.392,11362.674,46874,991291,436051,0,1474216,911:40:00,19:50,29:45:00,642:25:00,478:05:00,2081:45:00
ingenio nuevo san francisco s.a. de c.v.,2012-2013,36,386484.0,365031.988,5155.41,28760.75,0.0,28760.75,0.0,0.0,0,15656.88,0.0,0.0,72.365,87.298,91.284,29.156,13.14,10.83,14.81,11.32,76.47,3.24,50.02,21688.227,3647.341,5775.037,1010.396,1132.102,11564.876,46874,1033369,436051,0,1516294,999:25:00,19:50,29:45:00,652:55:00,526:05:00,2228:00:00
ingenio nuevo san francisco s.a. de c.v.,2012-2013,37,401684.0,378921.793,5381.11,29237.8,0.0,29237.8,0.0,0.0,0,16659.803,0.0,0.0,71.564,87.114,91.177,29.313,13.2,10.72,14.73,11.22,76.15,3.23,50.07,22998.422,3798.257,6173.366,1063.958,1205.749,12241.33,46874,1106398,436051,0,1589323,1087:55:00,19:50,29:45:00,664:25:00,526:05:00,2328:00:00
ingenio nuevo san francisco s.a. de c.v.,2012-2013,38,416884.0,394121.793,5584.64,30914.0,0.0,30914.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,00:00,00:00,00:00,00:00,00:00,00:00
ingenio nuevo san francisco s.a. de c.v.,2012-2013,39,421634.0,398871.793,5652.05,31210.0,0.0,31210.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,00:00,00:00,00:00,00:00,00:00,00:00
ingenio nuevo san francisco s.a. de c.v.,2012-2013,40,422250.529,399488.322,5661.12,31249.224,0.0,31249.224,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,00:00,00:00,00:00,00:00,00:00,00:00
ingenio nuevo san francisco s.a. de c.v.,2012-2013,41,418084.0,393325.0,5381.11,30013.3,0.0,30013.3,0.0,0.0,0,17862.264,81.768524,86.916,70.887,86.981,90.642,29.54,13.274,10.148,13.833,10.575,76.445,3.215,50.14,22998.422,3970.035,6078.984,1126.684,1175.836,12351.539,46874,1283859,556864,0,1887597,1140:50:00,20:00,29:45:00,1032:35:00,670:05:00,2893:15:00
comercializadora san gabriel a en p,2012-2013,23,7591.38,7273.377,135.34,270.42,0.0,270.42,0.0,0.0,0,94.297,0.0,0.0,68.351,76.987,88.034,37.062,17.915,12.595,18.72,14.4,76.945,4.07,46.2,89.034,114.405,109.356,20.123,58.71,302.594,16685,237628,0,0,254313,52:10:00,08:05,00:00,10:20,00:00,70:35:00
comercializadora san gabriel a en p,2012-2013,24,16527.67,15776.79,281.72,721.37,0.0,721.37,0.0,0.0,0,367.696,0.0,0.0,64.89,78.191,88.622,36.966,17.337,12.45,18.52,14.11,76.192,3.83,47.82,750.88,234.114,265.861,46.932,175.53,722.437,16685,356775,0,0,373460,80:55:00,18:15,24:00:00,27:05:00,11:50,162:05:00
comercializadora san gabriel a en p,2012-2013,25,24411.455,23254.597,401.72,1179.12,0.0,1179.12,0.0,0.0,0,767.648,0.0,0.0,64.234,80.277,89.933,36.24,17.19,12.354,18.35,13.84,75.404,3.43,47.73,1156.858,303.612,419.851,72.087,283.08,1078.63,16685,446412,0,0,463097,138:15:00,38:30:00,24:00:00,32:10:00,11:50,244:45:00
comercializadora san gabriel a en p,2012-2013,26,29963.73,28489.551,501.72,1558.92,0.0,1558.92,0.0,0.0,0,1115.35,0.0,0.0,62.538,79.524,89.632,36.326,17.034,12.171,18.39,13.72,74.585,3.47,48.19,1474.179,378.085,512.198,94.862,381.002,1366.147,16685,644406,0,0,661091,211:45:00,38:40:00,24:00:00,55:10:00,17:50,347:25:00
comercializadora san gabriel a en p,2012-2013,27,41561.535,39567.966,678.72,2430.32,0.0,2430.32,0.0,0.0,0,1631.382,0.0,0.0,61.381,78.942,89.965,37.112,17.335,12.052,18.33,13.73,74.933,3.26,48.7,1993.569,502.64,723.378,137.245,571.068,1934.331,16685,748477,0,0,765162,238:05:00,43:25:00,24:00:00,73:00:00,17:50,396:20:00
comercializadora san gabriel a en p,2012-2013,28,52624.815,50090.006,3022.34,3461.42,0.0,3461.42,0.0,0.0,0,2007.012,0.0,0.0,61.151,79.915,90.368,36.894,17.353,12.106,18.18,13.69,75.32,3.16,48.49,2534.809,613.627,943.627,170.274,747.506,2475.034,16685,810615,0,0,827300,285:05:00,47:15:00,24:00:00,88:10:00,17:50,462:20:00
comercializadora san gabriel a en p,2012-2013,29,56857.365,54079.346,3097.09,3821.72,0.0,3821.72,0.0,0.0,0,2293.458,0.0,0.0,61.187,80.007,90.385,36.986,17.399,12.109,18.19,13.68,75.216,3.15,48.47,2778.019,661.976,1020.145,179.571,810.563,2672.255,16685,841360,0,0,858045,403:05:00,54:25:00,24:00:00,88:10:00,17:50,587:30:00
