ingenio,zafra,semana,cana_molida_bruta,cana_molida_neta,superficie_cosechada,azucar_total,azucar_refinada,azucar_estandar,azucar_blanca_especial,azucar_mascabado,alcohol_96_producido,miel_final_85_brix,karbe_cana_bruta,karbe_cana_neta,eficiencia_fabrica,extraccion_jugo_mezclado,extraccion_pol_pol_cana,bagazo_cana,fibra_cana,pol_cana,brix_jugo_mezclado,pol_jugo_mezclado,pza_aparente_jugo_mezclado,pol_bagazo,humedad_bagazo,materia_extrana,perdidas_bagazo,perdidas_miel_final,perdidas_cachaza,perdidas_indeterminadas,perdidas_totales,petroleo_pruebas,petroleo_molienda,petroleo_liquidacion,petroleo_fabrica_alcohol,petroleo_total,tiempo_perdido_fabrica,tiempo_perdido_personal,tiempo_perdido_festivos,tiempo_perdido_campo,tiempo_perdido_lluvias,tiempo_perdido_total,pol_porcentaje_fibra,cana_cosechada_mecanicamente,cana_quemada,kg_vapor_kg_cana,energia_electrica_ton_cana,rendimiento_campo,rendimiento_fabrica
aaron saenz garza,2017-2018,8,38206.9,35241.849,424.25,1733.35,1266.95,466.399,0.0,0.0,0,687.9964706,115.077,124.759,73.013,98.767,94.578,28.122,12.37,13.526,15.54,12.953,83.35,2.608,52.265,2965.051,280.226,462.462,61.915,590.08,1394.683,0.0,0.0,0,0,0.0,72.05,0.0,0.0,0.0,0.0,72.05,109.345,73.084,67.863,0.653,673.0,90.057513,4.5367
aaron saenz garza,2017-2018,9,76240.45,70387.747,846.75,6354.5,1725.05,4629.449,0.0,0.0,51755,1970.697353,115.482,125.084,75.257,96.53,94.919,27.439,12.34,13.588,16.069,13.361,83.15,2.516,51.354,5852.703,526.335,978.268,104.748,953.886,2563.237,0.0,0.0,0,0,0.0,93.4,0.0,0.0,0.0,0.0,93.4,110.113,66.254,75.17,0.635,1365945.0,90.038913,8.3348
aaron saenz garza,2017-2018,10,114478.58,105650.141,1271.75,10557.05,1725.05,8831.999,0.0,0.0,212022,3217.567706,115.932,125.62,76.6,95.97,95.098,27.212,12.3,13.658,16.324,13.534,82.91,2.46,51.175,8817.054,766.483,1461.626,143.26,1287.391,3658.76,0.0,0.0,0,0,0.0,117.0,0.0,0.0,0.0,0.0,117.0,111.041,65.164,80.034,0.624,1997516.0,90.016575,9.2218
aaron saenz garza,2017-2018,11,151882.99,140170.719,1687.25,14311.5,1725.05,12586.449,0.0,0.0,357340,4415.407412,115.903,125.588,77.239,96.114,95.223,27.1,12.3,13.672,16.376,13.545,82.71,2.41,51.04,11700.886,992.005,1922.539,186.182,1625.671,4726.397,0.0,0.0,0,0,0.0,140.3,0.0,0.0,0.0,0.0,140.3,111.154,62.218,81.636,0.627,2657918.0,90.01807,9.4227
aaron saenz garza,2017-2018,12,190136.49,175630.142,2112.25,18656.4,1725.05,16931.349,0.0,0.0,553020,5819.071882,116.156,125.75,77.77,96.247,95.306,26.916,12.3,13.715,16.449,13.58,82.56,2.392,50.751,14494.963,1224.102,2395.282,227.721,1949.621,5796.726,0.0,0.0,0,0,0.0,157.1,0.0,0.0,0.0,0.0,157.1,111.504,61.057,80.41,0.632,3357553.0,90.016091,9.8121
aaron saenz garza,2017-2018,13,233265.47,215390.175,2591.75,24047.45,1725.05,22322.399,0.0,0.0,739621,7368.727471,116.892,126.593,78.238,96.291,95.357,26.819,12.29,13.8,16.551,13.666,82.57,2.389,50.607,17863.91,1494.599,2941.141,277.506,2291.921,7005.167,0.0,0.0,0,0,0.0,160.5,0.25,0.0,0.0,0.0,161.15,112.286,61.775,80.012,0.629,4081406.0,90.003075,10.309
aaron saenz garza,2017-2018,14,277605.05,256093.277,3084.25,29532.3,1725.05,27807.249,0.0,0.0,932739,8951.032177,117.099,126.935,78.686,96.229,95.403,26.745,12.28,13.828,16.612,13.709,82.52,2.377,50.534,21500.388,1764.485,3479.641,330.638,2606.961,8181.725,0.0,0.0,0,0,0.0,167.4,0.25,0.0,0.0,0.0,168.05,112.606,62.519,80.422,0.628,4914100.0,90.007311,10.6382
aaron saenz garza,2017-2018,15,323485.27,298259.576,3594.0,34892.05,1725.05,33166.999,0.0,0.0,1094139,10623.52362,117.863,127.831,79.145,96.25,95.479,26.662,12.27,13.903,16.68,13.792,82.68,2.358,50.459,25214.309,2033.479,4072.39,378.64,2895.031,9379.54,0.0,0.0,0,0,0.0,174.35,0.55,0.0,0.0,0.0,175.3,113.309,62.17,82.096,0.626,5754252.0,90.007031,10.7862
aaron saenz garza,2017-2018,16,363076.0,334633.549,4034.0,39125.6,1725.05,37400.549,0.0,0.0,1262241,11989.16921,118.242,128.292,79.35,96.12,95.384,26.778,12.27,13.946,16.734,13.84,82.7,2.404,50.62,28431.066,2337.197,4561.621,430.798,3126.821,10456.437,0.0,0.0,0,0,0.0,189.3,1.55,0.0,0.0,0.0,191.25,113.659,61.508,79.211,0.628,6498653.0,90.003966,10.7761
aaron saenz garza,2017-2018,17,408935.98,376672.315,4574.0,44569.6,1725.05,42844.549,0.0,0.0,1423802,13162.01318,118.752,128.924,79.553,95.979,95.311,26.87,12.26,14.007,16.823,13.91,82.68,2.445,50.726,32252.28,2686.052,5145.98,482.561,3397.921,11712.514,0.0,0.0,0,0,0.0,199.2,3.1,0.0,0.0,0.0,202.3,114.25,61.308,76.288,0.625,7213006.0,89.404455,10.8989
